# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	300
#@/user_id	4e81eb2f-72be-409f-8ad9-dab55510c07f
wo hai mei 	我還沒	c=1 d=1 t=201
wo xi huan 	我喜歡	c=1 d=1 t=51
wu fan 	午飯	c=0 d=0.1 t=203
xi huan 	喜歡	c=0 d=0.1 t=50
xia 	下	c=1 d=1 t=296
xia che 	下車	c=1 d=1 t=113
xian zai 	現在	c=1 d=1 t=151
xiang lin 	相鄰	c=1 d=1 t=126
xiao fang shuan 	消防栓	c=3 d=2.36619 t=224
xie xie 	謝謝	c=1 d=1 t=129
xin jian 	新建	c=1 d=1 t=269
xing ba 	行吧	c=1 d=1 t=176
xiu gai 	修改	c=2 d=1.82283 t=298
xun hui shen pan 	巡迴審判	c=1 d=1 t=10
yao 	要	c=1 d=1 t=212
yao shi 	鑰匙	c=3 d=2.79053 t=161
yi ge 	一個	c=1 d=1 t=28
yi kang 	易康	c=1 d=1 t=263
yi tian 	一天	c=1 d=1 t=81
ying yong 	應用	c=1 d=1 t=74
you 	有	c=0 d=0.1 t=14
you mei you 	有沒有	c=1 d=1 t=179
you ren 	有人	c=1 d=1 t=171
yuan 	源	c=1 d=1 t=26
yuan tu 	原圖	c=1 d=1 t=294
yue du 	閱讀	c=6 d=5.64796 t=46
yun 	雲	c=0 d=0.1 t=284
za 	砸	c=1 d=1 t=182
zai 	在	c=1 d=0.790734 t=246
zai lu you qi 	在路由器	c=1 d=1 t=247
zai na 	在哪	c=0 d=0.1 t=141
zao 	早	c=0 d=0.1 t=203
zao wu fan 	早午飯	c=1 d=1 t=204
zen me 	怎麼	c=4 d=2.62283 t=249
zhan 	站	c=1 d=1 t=286
zhao 	找	c=1 d=1 t=52
zhao dao 	找到	c=1 d=1 t=221
zhe 	着	c=1 d=1 t=27
zhe 	這	c=2 d=1.71177 t=145
zhe jiu shi 	這就是	c=1 d=1 t=284
zhe shi 	這是	c=1 d=1 t=63
zhe xie 	這些	c=1 d=1 t=122
zhe yang 	這樣	c=0 d=0.1 t=102
zheng 	整	c=0 d=0.1 t=218
zhi dao 	知道	c=2 d=1.71534 t=250
zi 	字	c=0 d=0.1 t=259
zi ji 	自己	c=1 d=1 t=23
zi ran ma 	自然碼	c=2 d=1.99005 t=13
zi ti 	字體	c=2 d=1.82283 t=300
zu 	租	c=1 d=1 t=116
